,speaker,gender,state,house_of_rep,party,Dominant_Topic,Dominant_topic,prev_nat_sec,prev_econ,military_heavy
55,Roger Wicker,0,Mississippi,0,0,1,Domestic_us_economy,0.33730000000000004,0.6627,0
56,Dan Sullivan,0,Alaska,0,0,1,Domestic_us_economy,0.2669,0.7331,0
57,Jack Reed,0,Rhode Island,0,1,0,National_security,0.6572,0.3428,0
58,Adam Smith,0,Washington,1,1,0,National_security,0.8347,0.1653,0
59,Ronny Jackson,0,Texas,1,0,0,National_security,0.7041,0.29590000000000005,1
60,Mike Garcia,0,California,1,0,0,National_security,0.6333,0.3667,1
61,Jennifer Gonzalez-Colon,1,Puerto Rico,1,0,0,National_security,0.7448,0.2552,0
62,Tommy Tuberville,0,Alabama,0,0,0,National_security,0.8389,0.16110000000000002,0
63,Jim Inhofe,0,Oklahoma,0,0,0,National_security,0.5221,0.4779,0
64,John Cornyn,0,Texas,0,0,1,Domestic_us_economy,0.30500000000000005,0.695,1
65,John Thune,0,South Dakota,0,0,0,National_security,0.5391,0.4609,0
66,Mike Rogers,0,Alabama,1,0,0,National_security,0.7666,0.23340000000000005,0
67,Doug Lamborn,0,Colorado,1,0,0,National_security,0.7424,0.25760000000000005,0
68,John Garamendi,0,California,1,1,0,National_security,0.8564,0.14359999999999995,1
69,Rob Wittman,0,Virginia,1,0,0,National_security,0.6814,0.3186,1
70,Jackie Speier,1,California,1,1,0,National_security,0.7599,0.24009999999999998,1
71,Rand Paul,0,Kentucky,0,0,1,Domestic_us_economy,0.1522,0.8478,0
72,Ruben Gallego,0,Arizona,1,1,0,National_security,0.7609,0.23909999999999998,0
73,Mike Gallagher,0,Wisconsin,1,0,0,National_security,0.7197,0.2803,0
74,Marco Rubio,0,Florida,0,0,1,Domestic_us_economy,0.18930000000000002,0.8107,1
75,Chuck Schumer,0,New York,0,1,1,Domestic_us_economy,0.30010000000000003,0.6999,0
76,Marsha Blackburn,1,Tennessee,0,0,1,Domestic_us_economy,0.4567,0.5433,0
77,Maria Cantwell,1,Washington,0,1,1,Domestic_us_economy,0.11880000000000002,0.8812,0
78,Dick Durbin,0,Illinois,0,1,1,Domestic_us_economy,0.20489999999999997,0.7951,0
