,level,speaker,gender,member_state,EP,party_group,text,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,prevalenc_of_topics
10,EU,Tom Vandendriessche,0,Belgium,1.0,Identity and Democracy Group,"['today', 'print', 'press', 'middle', 'age', 'instrument', 'citizen', 'express', 'point', 'view', 'defend', 'interest', 'however', 'rule', 'elite', 'respond', 'censorship', 'oppression', 'determine', 'truth', 'guise', 'fighting', 'call', 'truth', 'protect', 'censorship', 'lie', 'guise', 'combating', 'call', 'want', 'criminalize', 'resistance', 'unwanted', 'migration', 'multicultural', 'mother', 'care', 'child', 'hatred', 'foreign', 'love', 'proper', 'democracy', 'exist', 'freedom', 'expression', 'matter', 'leave', 'right', 'agree', 'disagree', 'fundamental', 'right', 'save', 'tyranny', 'censorship', 'therefore', 'punish', 'break', 'protect', 'fundamental_right', 'freedom', 'citizen', 'democracy']",10,5,0.3124,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.08611111111111111), (1, 0.08712121212121213), (2, 0.059848484848484845), (3, 0.06085858585858586), (4, 0.1669191919191919), (5, 0.31237373737373736), (6, 0.1255050505050505), (7, 0.10126262626262626)]"
11,EU,Gwendoline Delbos-Corfield,1,France,1.0,The Greens/European Free Alliance,"['gwendoline', 'ale', 'report', 'exist', 'transparency', 'tool', 'fail', 'law', 'fit', 'purpose', 'digital', 'world', 'democracie', 'ready', 'challenge', 'liberty', 'fundamental_right', 'often', 'debate', 'issue', 'still', 'adequate', 'rule', 'european', 'level', 'need', 'transparency', 'hold', 'platform', 'accountable', 'impact', 'democratic', 'process', 'scrutinise', 'action', 'need', 'transparency', 'share', 'datum', 'researcher', 'example', 'new', 'european', 'digital', 'medium', 'observatory', 'need', 'transparency', 'fight', 'disinformation', 'need', 'transparency', 'help', 'understand', 'online', 'space', 'become', 'hotbed', 'systemic', 'inequality', 'discrimination', 'woman', 'minority', 'desert', 'online', 'space', 'often', 'extremely', 'violent', 'experience', 'talk', 'isolate', 'case', 'problem', 'become', 'mainstream', 'transparency', 'algorithm']",11,5,0.2636,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.1228448275862069), (1, 0.09794061302681993), (2, 0.09123563218390807), (3, 0.08836206896551725), (4, 0.1170977011494253), (5, 0.26364942528735635), (6, 0.13050766283524906), (7, 0.08836206896551725)]"
12,EU,Nicola Procaccini,0,Germany,1.0,Identity and Democracy Group,"['lady', 'ask', 'debate', 'majority', 'relation', 'social', 'educational', 'economic', 'political', 'sphere', 'take', 'place', 'digital', 'platform', 'possible', 'deny', 'regulation', 'private', 'multinational', 'especially', 'affect', 'democracy', 'simple', 'european', 'say', 'give', 'historical', 'moment', 'freedom', 'expression', 'limit', 'suppress', 'establish', 'public', 'authority', 'appeal', 'believe', 'wrong', 'illegal', 'online', 'say', 'early', 'right', 'fact', 'call', 'reserve', 'law', 'basis', 'rule', 'law']",12,5,0.2962,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.0908816425120773), (1, 0.07880434782608696), (2, 0.10778985507246377), (3, 0.08967391304347826), (4, 0.11865942028985507), (5, 0.3046497584541063), (6, 0.0945048309178744), (7, 0.11503623188405797)]"
13,EU,Niyazi Kizilyürek,0,Cyprus,1.0,Left group in the European Parliament,"['leave', 'colleague', 'social_media', 'become', 'platform', 'hate', 'racism', 'disinformation', 'hate_speech', 'free', 'internet', 'information', 'communication', 'access', 'guarantee', 'access', 'internet', 'public', 'good', 'free', 'internet', 'democratically', 'control', 'platform', 'order', 'day', 'mean', 'common', 'rule', 'particular', 'strict', 'anti', 'monopoly', 'anti', 'trust', 'control', 'active', 'participation', 'internet', 'company', 'involvement', 'civil', 'society', 'addition', 'various', 'platform', 'commit', 'clearly', 'express', 'general', 'term', 'condition', 'user', 'right', 'portability', 'datum', 'relationship', 'social', 'network', 'finally', 'high', 'time', 'fair', 'taxation', 'distribution', 'enormous', 'profit', 'internet', 'giant', 'rich', 'finally', 'checkout']",13,7,0.2435,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.10656130268199233), (1, 0.10847701149425287), (2, 0.0778256704980843), (3, 0.06441570881226054), (4, 0.09985632183908046), (5, 0.16690613026819923), (6, 0.1352969348659004), (7, 0.2406609195402299)]"
14,EU,Costas Papadakis,0,Cyprus,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['mutual', 'accusation', 'vague', 'moral', 'crown', 'trade', 'war', 'take', 'lead', 'digital', 'economy', 'equip', 'relevant', 'digital', 'agreement', 'serve', 'interest', 'group', 'guise', 'protection', 'european', 'compete', 'control', 'mass', 'record', 'dossier', 'marketing', 'exploitation', 'datum', 'government', 'service', 'group', 'criterion', 'astronomical', 'gain', 'fact', 'multiple', 'midst', 'pandemic', 'time', 'cooperate', 'extract', 'transmit', 'personal_data', 'information', 'back', 'people', 'intensify', 'secrecy', 'repression', 'detriment', 'movement', 'work', 'people', 'long', 'datum', 'collection', 'processing', 'own', 'control', 'monopoly', 'bourgeois', 'state', 'serve', 'capitalist', 'exploitation', 'way', 'protect', 'popular', 'struggle', 'worker', 'struggle', 'protection', 'popular', 'right', 'freedom', 'inextricably', 'link', 'struggle', 'overthrow', 'barbarism', 'turn', 'enormous', 'scientific', 'technological', 'potential', 'new', 'bond', 'detriment', 'people']",14,6,0.294,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.059465020576131684), (1, 0.11707818930041153), (2, 0.10967078189300411), (3, 0.09897119341563786), (4, 0.11131687242798353), (5, 0.0808641975308642), (6, 0.30637860082304524), (7, 0.11625514403292181)]"
15,EU,Balázs Hidvéghi,0,Hungary,1.0,Non-attached Members,"['colleague', 'commonplace', 'internet', 'giant', 'delete', 'opinion', 'ideologically', 'touch', 'button', 'block', 'regardless', 'identity', 'judgment', 'completely', 'unacceptable', 'violate', 'democratic', 'principle', 'large', 'social', 'platform', 'long', 'simply', 'social_network', 'make', 'easy', 'stay', 'touch', 'acquaintance', 'online', 'interface', 'affect', 'area', 'life', 'business', 'public', 'service', 'art', 'culture', 'public', 'discourse', 'thus', 'politics', 'development', 'recent', 'month', 'clearly', 'show', 'leader', 'technology', 'giant', 'become', 'political', 'actor', 'restrict', 'freedom', 'expression', 'appropriate', 'absence', 'rule', 'abuse', 'position', 'delete', 'moderate', 'censor', 'please', 'much', 'political', 'expression', 'take', 'place', 'world', 'wide', 'web', 'freedom', 'expression', 'internet', 'ensure', 'time', 'technology', 'giant', 'arbiter', 'public', 'freedom', 'expression', 'cornerstone', 'democracy', 'restrict', 'exceptional', 'case', 'law', 'law', 'regulate', 'write', 'electronic', 'press', 'need', 'internet', 'need', 'rule', 'force', 'internet', 'giant', 'operate', 'legally', 'transparently', 'verifiably', 'allow', 'arbitrarily', 'restrict', 'freedom']",15,5,0.2661,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.07055555555555557), (1, 0.09203703703703706), (2, 0.07500000000000001), (3, 0.06018518518518519), (4, 0.09944444444444446), (5, 0.2624074074074075), (6, 0.10314814814814816), (7, 0.23722222222222225)]"
16,EU,Philippe Olivier,0,Belgium,1.0,The Greens/European Free Alliance,"['i', 'd', 'lady', 'gentleman', 'freedom', 'expression', 'forbid', 'paper', 'ink', 'yet', 'happen', 'today', 'world', 'citizen', 'activist', 'personality', 'elect', 'official', 'arbitrarily', 'censor', 'social_network', 'prior', 'conviction', 'possibility', 'appeal', 'thus', 'example', 'lrem', 'son', 'forget', 'even', 'deputy', 'emmanuelle', 'menard', 'censor', 'twitter', 'think', 'otherwise', 'put', 'forward', 'different', 'idea', 'crime', 'right', 'european', 'parliament', 'grow', 'defend', 'freedom', 'expression', 'new', 'censor', 'giant', 'net', 'uphill', 'battle', 'freedom', 'expression', 'make', 'sense', 'protect', 'idea', 'idea', 'even', 'go', 'grain', 'other', 'official', 'truth', 'know', 'accept', 'even', 'bad', 'dictatorship']",16,7,0.2749,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.08667695473251029), (1, 0.08770576131687242), (2, 0.06095679012345679), (3, 0.06095679012345679), (4, 0.12268518518518519), (5, 0.1669238683127572), (6, 0.14017489711934156), (7, 0.27391975308641975)]"
17,EU,Patrick Breyer,0,Germany,1.0,European Conservatives and Reformists Group,"['breyer', 'ale', 'dominant', 'internet', 'platform', 'state', 'dictatorship', 'use', 'army', 'robot', 'spy', 'citizen', 'manipulate', 'dictate', 'news', 'headline', 'arbitrarily', 'censor', 'citizen', 'say', 'cut', 'communication', 'channel', 'citizen', 'country', 'stop', 'put', 'tech', 'despot', 'error', 'prone', 'machine', 'charge', 'cure', 'society', 'prevent', 'violence', 'crime', 'lie', 'hate', 'fuel', 'despot', 'power', 'despot', 'use', 'despotic', 'mean', 'weapon', 'democracy', 'human', 'rule', 'law', 'independent', 'court', 'take', 'decision', 'let', 'start', 'set', 'federated', 'platform', 'make', 'corporate', 'platform', 'interconnect', 'let', 'democracy', 'reign', 'digital', 'age', 'corporation', 'machine']",17,7,0.2659,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.0678743961352657), (1, 0.09492753623188406), (2, 0.07560386473429952), (3, 0.06497584541062802), (4, 0.12294685990338164), (5, 0.22922705314009661), (6, 0.0929951690821256), (7, 0.2514492753623188)]"
18,EU,Robert Roos,0,Netherlands,1.0,European Conservatives and Reformists Group,"['powerful', 'power', 'break', 'citizen', 'intervene', 'public', 'debate', 'digitally', 'steer', 'certain', 'direction', 'even', 'silence', 'selective', 'algorithm', 'moderation', 'unacceptable', 'social_media', 'platform', 'soapboxe', 'first', 'century', 'platform', 'express', 'opinion', 'however', 'controversial', 'unwelcome', 'contrary', 'debate', 'therefore', 'able', 'conduct', 'complete', 'freedom', 'online', 'offline', 'interference', 'public', 'authority', 'respect', 'border', 'state', 'article', 'charter', 'fundamental', 'principle', 'always', 'respect', 'fight', 'illegal', 'content', 'child', 'pornography', 'incitement', 'violence', 'protect', 'freedom', 'expression', 'sole', 'filter', 'function', 'immeasurable', 'spectrum', 'opinion', 'define', 'political', 'agenda', 'power', 'public', 'debate']",18,5,0.3872,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.06359649122807018), (1, 0.074317738791423), (2, 0.08503898635477583), (3, 0.05579922027290448), (4, 0.14644249512670565), (5, 0.3901072124756335), (6, 0.09283625730994152), (7, 0.09186159844054581)]"
19,EU,Márton Gyöngyösi,0,Hungary,1.0,Non-attached Members,"['internet', 'widen', 'scope', 'social', 'dialogue', 'freedom', 'speech', 'past', 'decade', 'reveal', 'unfortunate', 'truth', 'internet', 'grant', 'unlimited', 'space', 'extremist', 'ideology', 'show', 'dangerous', 'group', 'chamber', 'form', 'third', 'world', 'deep', 'social', 'division', 'elsewhere', 'develop', 'world', 'populist', 'quick', 'exploit', 'advantage', 'offer', 'grip', 'power', 'already', 'start', 'speak', 'regulate', 'native', 'orban', 'government', 'already', 'draft', 'national', 'regulate', 'internet', 'doubt', 'real', 'intention', 'provide', 'legal', 'protection', 'next', 'smear', 'campaign', 'sabotage', 'work', 'opposition', 'self', 'regulation', 'long', 'sufficient', 'require', 'action', 'internationally', 'simultaneously', 'fight', 'fake_new', 'shape', 'public', 'democratic', 'discourse', 'high', 'time', 'create', 'european', 'public', 'medium', 'service']",19,7,0.1752,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.08158355205599302), (1, 0.08420822397200352), (2, 0.113079615048119), (3, 0.107830271216098), (4, 0.1104549431321085), (5, 0.17694663167104116), (6, 0.16119860017497817), (7, 0.16469816272965881)]"
20,EU,Sven Simon,0,Germany,1.0,European People's Party,"['epp', 'lady', 'gentleman', 'social_media', 'opportunity', 'threat', 'democracy', 'talk', 'democratic', 'control', 'protection', 'fundamental_right', 'go', 'heart', 'liberal', 'democracy', 'democracy', 'rule', 'law', 'fundamental_right', 'enforce', 'individually', 'european', 'identity', 'fundamental', 'right', 'freedom', 'expression', 'fundamental', 'importance', 'want', 'protect', 'time', 'fight', 'first', 'start', 'communicate', 'spread', 'false', 'fact', 'political', 'space', 'example', 'talk', 'mercosur', 'international', 'trade', 'agreement', 'fact', 'talk', 'vaccination', 'policy', 'contract', 'astrazeneca', 'example', 'institution', 'truth', 'fact', 'gain', 'trust', 'credibility', 'please', 'agreement', 'debate', 'restriction', 'interference', 'freedom', 'expression', 'take', 'place', 'accordance', 'law', 'leave', 'private', 'individual', 'world']",20,5,0.2724,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.06897363465160075), (1, 0.09628060263653485), (2, 0.07933145009416195), (3, 0.0661487758945386), (4, 0.21680790960451976), (5, 0.2714218455743879), (6, 0.11793785310734463), (7, 0.0830979284369115)]"
21,EU,Moritz Körner,0,Germany,1.0,Renew Europe Group,"['colleague', 'startle', 'remember', 'young', 'senator', 'use', 'become', 'first', 'black', 'trump', 'obama', 'elect', 'help', 'social_media', 'good', 'bad', 'rule', 'give', 'instead', 'restrict', 'freedom', 'expression', 'upload', 'filter', 'transparency', 'algorithm', 'give', 'user', 'option', 'instead', 'let', 'private', 'company', 'decide', 'illegal', 'court', 'continue', 'decide', 'need', 'well', 'cooperation', 'authority', 'continue', 'see', 'people', 'write', 'nonsense', 'internet', 'well', 'protect', 'democracy', 'external', 'disinformation', 'campaign', 'freedom', 'expression', 'deal', 'smart', 'rule', 'restrict', 'european', 'way', 'future']",21,5,0.2566,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.07508250825082509), (1, 0.07178217821782178), (2, 0.1377887788778878), (3, 0.08388338833883388), (4, 0.09378437843784379), (5, 0.2555005500550055), (6, 0.11798679867986799), (7, 0.16419141914191418)]"
